rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
20-30-31,0,1,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,1,1,1,1,1,12,0
35-47-52,0,2,0,0,1,0,0,64,0,0,18,0,1,24,0,0,0,1,0,7,0,1,116,0
55-59-63,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,0,1
37-42-46,1,4,0,1,1,1,0,7,0,1,0,1,0,4,0,0,1,0,0,3,0,3,20,0
29-30-24,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
18-11-2,0,0,1,0,1,0,0,3,0,0,2,0,0,2,0,0,0,1,0,0,1,0,8,0
53-58-63,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,1,3,0,1
16-32-45,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,2,0,1
17-18-10,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
11-8-4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0
40-47-47,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0,0,0,1,0,0,1,0,5,0
10-17-29,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1
27-34-42,2,1,1,4,0,1,4,2,1,4,3,1,4,0,1,1,2,0,3,2,1,22,10,1
28-26-22,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,5,0,0,3,0,0,9,0
2-7-9,21,4,1,23,1,1,62,31,1,228,91,1,195,57,1,97,16,1,30,9,1,656,209,1
37-28-8,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
5-3-0,0,8,0,0,13,0,0,18,0,0,0,1,1,10,0,0,2,0,2,2,1,3,53,0
